classe_num,ndevoir_w5,avg_note_w5,log_w5,logMonday_w5,logSunday_w5,logWed_w5,logThursday_w5,diffDaysWeek,logResource_w5,logCore_w5,logViewed_w5,logviewedCore_w5,logviewedResource_w5,logviewedTargetCourse_w5,logviewedTargetCourseModule_w5,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,1,18,210,0,0,40,120,1,100,110,210,110,100,110,100,0,1,6,0,0
1,1,17,414,117,279,9,9,1,342,72,414,72,342,72,342,0,1,4,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,1,16,72,0,0,0,36,0,18,54,72,54,18,54,18,0,0,6,0,0
0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,1,18,207,126,0,0,9,0,54,153,207,153,54,153,54,0,0,5,0,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,1,17,234,0,36,162,0,0,72,162,234,162,72,162,72,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,1,20,567,54,0,234,0,1,99,333,495,324,99,324,171,0,1,6,0,0
1,1,18,30,0,0,10,0,0,0,30,30,30,0,30,0,0,0,5,0,0
1,1,18,288,36,0,63,0,1,63,180,270,180,63,180,90,0,1,6,0,0
1,0,0,108,0,0,0,0,0,18,90,108,90,18,90,18,0,0,5,0,0
1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
1,1,20,108,45,0,18,45,1,36,72,108,72,36,72,36,1,1,6,1,0
