classe_num,ndevoir_w4,avg_note_w4,log_w4,logMonday_w4,logSunday_w4,logWed_w4,logThursday_w4,diffDaysWeek,logResource_w4,logCore_w4,logViewed_w4,logviewedCore_w4,logviewedResource_w4,logviewedTargetCourse_w4,logviewedTargetCourseModule_w4,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,1,18,50,0,0,0,0,1,20,30,50,30,20,30,20,1,1,6,0,0
1,1,17,135,117,0,9,9,1,90,45,135,45,90,45,90,0,1,4,0,0
1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,1,16,72,0,0,0,36,0,18,54,72,54,18,54,18,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,1,18,207,126,0,0,9,0,54,153,207,153,54,153,54,1,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,1,17,234,0,36,162,0,1,72,162,234,162,72,162,72,1,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,1,20,477,0,0,198,0,1,81,261,405,252,81,252,153,1,1,6,0,0
1,1,18,30,0,0,10,0,0,0,30,30,30,0,30,0,0,0,5,0,0
1,1,18,252,36,0,63,0,1,54,153,234,153,54,153,81,1,1,6,0,0
1,0,0,108,0,0,0,0,0,18,90,108,90,18,90,18,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,63,0,0,18,45,1,18,45,63,45,18,45,18,0,1,6,1,0
1,1,17,310,0,30,130,40,1,60,250,310,250,60,250,60,1,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
